#,Name,Symbol,On Exchange,% Supply On Exchange,1D Change,1D Change %,7D Change,7D Change %,30D Change,30D Change %
1,Bitcoin,BTC,1211667.0,6.17,-1220.84,-0.1,847.33,0.07,-24096.19,-1.95
2,Ethereum,ETH,8568357.0,7.13,-42764.36,-0.5,-226303.38,-2.57,-814608.02,-8.68
3,Tether,USDT,1300384860.0,1.28,-10025025404.0,-88.52,-15504029741.0,-92.26,70040484.23,5.69
4,Binance Coin,BNB,106204.0,0.07,38.154,0.04,618.13,0.59,1556.57,1.49
5,Lido stETH,STETH,98945.0,1.01,25.3043,0.03,-945.23,-0.95,481.36,0.49
6,XRP,XRP,94684090.0,0.09,267754.81,0.28,-325236.29,-0.34,-1166429.87,-1.22
7,USD Coin,USDC,84358643.0,0.3,-1890666206.0,-95.73,4117435.66,5.13,-2032044860.0,-96.01
8,Cardano,ADA,12449021.0,0.03,-19111213.38,-60.55,-21734355.71,-63.58,-16266774.76,-56.65
9,Avalanche,AVAX,355128.0,0.08,7456.32,2.14,13575.12,3.97,-83173.0,-18.98
10,OKB,OKB,6361214.0,2.12,-160.15,0.0,-22798.03,-0.36,-114771.75,-1.77
11,Dogecoin,DOGE,158763289.0,0.11,3405577.81,2.19,2535279.36,1.62,4348702.25,2.82
12,TRON,TRX,184500552.0,0.21,-79762.49,-0.04,-1219386.63,-0.66,-1726006.14,-0.93
13,ChainLink,LINK,102989104.0,10.3,46489.66,0.05,-412888.5,-0.4,6281408.3,6.5
14,Polkadot,DOT,4313228.0,0.3,-8291.94,-0.19,208002.62,5.07,19114.52,0.45
15,Polygon,MATIC,919367364.0,9.19,-664930.36,-0.07,-18635730.33,-1.99,3151009.55,0.34
16,Wrapped Bitcoin,WBTC,4885.44,3.11,-232.23,-4.54,-357.1,-6.81,-9.1388,-0.19
17,Uniswap,UNI,60802542.0,6.08,412277.99,0.68,5948248.97,10.84,4355429.44,7.72
18,Toncoin,TON,1007643.0,0.02,-3721.9,-0.37,41534.58,4.3,270263.2,36.65
19,Dai,DAI,96827001.0,1.81,-2409553.8,-2.43,-4224497.92,-4.18,-12272026.04,-11.25
20,Shiba Inu,SHIB,115282107804955.0,11.53,65677716469.0,0.06,627658801326.0,0.55,2524130272980.0,2.24
21,Bitcoin Cash,BCH,44274.0,0.23,513.99,1.17,-97.2897,-0.22,3670.34,9.04
22,Litecoin,LTC,312677.0,0.37,-205.32,-0.07,310.39,0.1,-14335.22,-4.38
23,Immutable X,IMX,99215502.0,4.96,-234852.08,-0.24,-302410.79,-0.3,-1064544.79,-1.06
24,Filecoin,FIL,3002232.0,0.25,217439.66,7.81,2068881.98,221.66,1635589.77,119.68
25,Unus Sed LEO,LEO,654191423.0,66.4,3673.43,0.0,13296.73,0.0,118328.05,0.02
26,Cosmos,ATOM,521274.0,0.13,-2213.65,-0.42,-18024.61,-3.34,-20271.92,-3.74
27,Ethereum Classic,ETC,219295.0,0.1,-605.2,-0.28,-25847.69,-10.54,-28299.36,-11.43
28,NEAR Protocol,NEAR,644913.0,0.05,105253.95,19.5,-103907.09,-13.88,46355.19,7.74
29,TrueUSD,TUSD,411777708.0,31.96,238386.95,0.06,3171820.78,0.78,19229629.71,4.9
30,First Digital USD,FDUSD,3230034529.0,97.68,-670074.34,-0.02,463669575.0,16.76,724605640.0,28.92
31,Injective Protocol,INJ,2556302.0,2.56,-1126.87,-0.04,130853.04,5.4,32296.03,1.28
32,Lido DAO Token,LDO,59344884.0,5.93,-1461323.49,-2.4,211969.5,0.36,593275.31,1.01
33,Graph,GRT,1063028476.0,9.85,-4546329.3,-0.43,-35559793.43,-3.24,-36558236.53,-3.32
34,Render Token,RNDR,90192326.0,16.98,1228799.19,1.38,507823.74,0.57,7697647.62,9.33
35,Arbitrum,ARB,4723811.0,0.05,-121885.95,-2.52,-419453.58,-8.16,453717.83,10.63
36,Cronos,CRO,2239065394.0,7.4,-808697.6,-0.04,-4919138.09,-0.22,51459037.56,2.35
37,Maker,MKR,61927.0,6.33,1559.82,2.58,2486.19,4.18,3580.01,6.14
38,Beam,BEAMX,8345436616.0,13.26,49700578.32,0.6,180731310.0,2.21,451705140.0,5.72
39,Aave,AAVE,3009449.0,18.81,-5215.73,-0.17,12597.4,0.42,332866.37,12.44
40,MultiversX(Elrond),EGLD,361823.0,1.36,-44.4456,-0.01,-6636.29,-1.8,-6591.69,-1.79
41,StarkNet,STRK,3492074.0,0.03,398513.74,12.88,0.0,0.0,0.0,0.0
42,Axie Infinity,AXS,5144060.0,1.91,97685.75,1.94,290725.35,5.99,47634.32,0.93
43,Blur,BLUR,199109274.0,6.64,8047270.21,4.21,6000616.88,3.11,-2332716.32,-1.16
44,Quant,QNT,1300360.0,8.74,10317.08,0.8,21613.02,1.69,59361.05,4.78
45,Synthetix,SNX,19518514.0,5.95,-256507.58,-1.3,1920554.94,10.91,4082944.38,26.45
46,Worldcoin,WLD,33793148.0,0.34,694541.5,2.1,-463970.42,-1.35,-276285.51,-0.81
47,Fantom,FTM,650937126.0,20.5,-670219.9,-0.1,100465.0,0.02,-1341772.13,-0.21
48,The Sandbox,SAND,624843638.0,20.83,6674123.33,1.08,17002419.61,2.8,106848636.0,20.63
49,Chiliz,CHZ,3079498811.0,34.64,-557305.51,-0.02,5379548.48,0.17,142256089.0,4.84
50,ApeCoin,APE,91955245.0,9.2,108728.04,0.12,2822407.05,3.17,13185381.62,16.74
51,Tezos,XTZ,409712.0,0.04,-3487.07,-0.84,-140295.67,-25.51,-122416.62,-23.01
52,dYdX,DYDX,110606324.0,20.63,229046.86,0.21,1822203.51,1.68,-1455821.35,-1.3
53,BitTorrent(new),BTT,18467813708497.0,1.87,13182188974.0,0.07,35015441752.0,0.19,8690092028.0,0.05
54,Ocean Protocol,OCEAN,152854973.0,10.84,764440.25,0.5,7145840.17,4.9,9030431.35,6.28
55,KuCoin Token,KCS,74669814.0,43.89,4.7e-05,0.0,0.0,0.0,0.0,0.0
56,Decentraland,MANA,441675219.0,20.14,983239.03,0.22,1923163.22,0.44,4999671.32,1.14
57,SingularityNET,AGIX,386610102.0,34.66,5783088.86,1.52,23049933.17,6.34,24600297.82,6.8
58,WOO Network,WOO,642438067.0,28.8,9680909.88,1.53,13997368.55,2.23,12350838.87,1.96
59,Conflux,CFX,574634013.0,11.55,30461354.21,5.6,57980970.95,11.22,53505608.82,10.27
60,Fetch.AI,FET,213603166.0,18.53,-2759554.73,-1.28,-9600099.97,-4.3,-2446782.9,-1.13
61,Gnosis,GNO,47678.0,0.48,1056.73,2.27,1876.32,4.1,10865.48,29.52
62,EOS,EOS,350445.0,0.03,-107857.55,-23.53,-131046.56,-27.22,115838.92,49.38
63,IOTA,MIOTA,13017616.0,0.41,-30478.38,-0.23,407658.46,3.23,-1608544.47,-11.0
64,Gala,GALA,23777105264.0,77.03,68200970.39,0.29,240481785.0,1.02,728740408.0,3.16
65,Jasmy,JASMY,14186398013.0,28.37,-173074903.0,-1.21,207106710.0,1.48,611400099.0,4.5
66,PancakeSwap,CAKE,75513051.0,19.58,-224272.64,-0.3,2293648.06,3.13,1639321.21,2.22
67,Luna Classic,LUNC,964134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Curve,CRV,273949097.0,13.16,9408615.41,3.56,20516126.58,8.1,53457388.25,24.24
69,Ethereum Name Service,ENS,9843680.0,9.84,46224.56,0.47,133350.51,1.37,134579.75,1.39
70,Pendle Finance,PENDLE,47133422.0,18.24,-194425.58,-0.41,694696.42,1.5,7361413.61,18.51
71,Frax Share,FXS,6666451.0,6.69,77464.92,1.18,206670.85,3.2,620166.21,10.26
72,PAX Gold,PAXG,32278.0,16.0,5.881,0.02,-1282.34,-3.82,-266.74,-0.82
73,Nexo,NEXO,16343395.0,1.63,172541.25,1.07,117670.29,0.73,269328.07,1.68
74,Ondo Finance,ONDO,504546155.0,5.05,-9480945.12,-1.84,-44797523.05,-8.15,-68788631.26,-12.0
75,Gemini Dollar,GUSD,8448855.0,26.92,159594.68,1.93,247249.68,3.01,448826.72,5.61
76,Rocket Pool,RPL,434915.0,2.16,-4459.03,-1.01,28190.87,6.93,8197.26,1.92
77,FTX Token,FTT,45852610.0,13.94,159583.74,0.35,189099.8,0.41,-640378.65,-1.38
78,ZetaChain,ZETA,10659927.0,0.51,62716.19,0.59,538656.4,5.32,0.0,0.0
79,IoTeX,IOTX,193174779.0,0.2,-409403.57,-0.21,11614823.11,6.4,17221507.75,9.79
80,1inch Token,1INCH,199979866.0,13.33,603689.33,0.3,7461320.9,3.88,3763338.27,1.92
81,Pepe,PEPE,186321918664924.0,44.29,175010319517.0,0.09,1086784708728.0,0.59,16780849507300.0,9.9
82,Trust Wallet,TWT,13902244.0,1.39,-189751.85,-1.35,-85017.17,-0.61,-1497927.07,-9.73
83,Compound,COMP,1500934.0,15.01,-17479.71,-1.15,26441.85,1.79,85606.34,6.05
84,SuperVerse,SUPER,136264791.0,13.63,-617123.02,-0.45,-3074559.17,-2.21,-3550227.45,-2.54
85,Gatechain Token,GT,92283290.0,30.76,233.99,0.0,1576.86,0.0,-2633709.71,-2.77
86,Enjin Coin,ENJ,116478919.0,11.65,240396.37,0.21,-166546.73,-0.14,-11538195.09,-9.01
87,Green Metaverse Token,GMT,349953466.0,6.47,2067140.14,0.59,1235789.66,0.35,38609940.1,12.4
88,Convex Finance,CVX,2954661.0,2.97,-58340.04,-1.94,149647.99,5.34,-134806.1,-4.36
89,Livepeer Token,LPT,4572843.0,14.74,40181.87,0.89,273607.52,6.36,424154.77,10.22
90,aelf,ELF,93078430.0,10.58,18862.27,0.02,123433.61,0.13,483367.86,0.52
91,Zcash,ZEC,35578.0,0.22,101.92,0.29,-3513.77,-8.99,87.4163,0.25
92,SKALE Network,SKL,645792187.0,12.3,-4941361.63,-0.76,-1623490.48,-0.25,-12412330.04,-1.89
93,Mask Network,MASK,29621089.0,29.62,656159.21,2.27,4013392.58,15.67,5591909.8,23.27
94,Pixels,PIXEL,398079565.0,7.96,-912942.5,-0.23,27683952.23,7.47,0.0,0.0
95,Zilliqa,ZIL,92280741.0,0.49,-1817460.57,-1.93,-8560263.86,-8.49,-29509916.57,-24.23
96,OriginTrail,TRAC,26511737.0,5.3,696554.1,2.7,213939.15,0.81,-443316.23,-1.64
97,Holo,HOT,56620844659.0,31.88,10053448.48,0.02,45503702.15,0.08,575473248.0,1.03
98,Basic Attention Token,BAT,272573739.0,18.17,2139480.84,0.79,14719648.62,5.71,24572386.48,9.91
99,Loopring,LRC,328123358.0,23.88,5551098.64,1.72,2552853.57,0.78,42735790.22,14.97
100,Golem,GLM,95491422.0,9.55,4582337.03,5.04,14249332.52,17.54,19940137.61,26.39
101,Illuvium,ILV,782127.0,9.73,-2748.84,-0.35,8434.42,1.09,24756.78,3.27
102,Sushi,SUSHI,104472463.0,41.75,889542.17,0.86,-961505.43,-0.91,-2165133.48,-2.03
103,SafePal,SFP,320245318.0,64.05,192100.44,0.06,-84100455.55,-20.8,-43310196.32,-11.91
104,Floki Inu,FLOKI,1945932578085.0,19.6,8305994057.0,0.43,12509961867.0,0.65,62592692412.0,3.32
105,Galxe(Project Galaxy),GAL,50600973.0,25.3,-312886.19,-0.61,2439743.41,5.07,6027960.27,13.52
106,Aragon,ANT,2671570.0,6.19,-4099.69,-0.15,-569978.87,-17.58,-1797022.08,-40.21
107,Chromia,CHR,326822501.0,55.18,362217.01,0.11,-2618431.84,-0.79,-13631779.53,-4.0
108,API3,API3,19059844.0,14.79,112380.87,0.59,-704346.96,-3.56,3736320.02,24.38
109,Magic,MAGIC,9234.06,0.0,0.0,0.0,0.0,0.0,-2.521330156623283e+21,-100.0
110,SSV Network,SSV,4169806.0,37.86,-16780.36,-0.4,-39561.67,-0.94,-92503.96,-2.17
111,Ankr,ANKR,1534833503.0,15.35,28319305.77,1.88,117146275.0,8.26,264672417.0,20.84
112,COTI,COTI,514613636.0,25.73,-14114836.47,-2.67,-40162342.54,-7.24,-48124278.92,-8.55
113,0x,ZRX,143714330.0,14.37,1291641.28,0.91,3783475.77,2.7,8204710.11,6.05
114,UMA,UMA,7812025.0,6.61,138856.73,1.81,-38051.81,-0.48,1573257.65,25.22
115,Storj,STORJ,95462442.0,22.46,509139.04,0.54,13168712.33,16.0,17326605.45,22.17
116,yearn.finance,YFI,8690.12,23.7,82.057,0.95,39.7298,0.46,184.8,2.17
117,Ribbon Finance,RBN,4470673.0,0.45,156891.04,3.64,186005.57,4.34,692293.43,18.32
118,Flux,FLUX,50599884.0,11.5,382177.9,0.76,1512718.27,3.08,1829703.54,3.75
119,SPACE ID,ID,167360211.0,8.38,-113211.06,-0.07,25246676.08,17.77,-86915297.6,-34.18
120,Threshold Network,T,920561534.0,8.34,12524740.73,1.38,3662158.37,0.4,141352404.0,18.14
121,Tellor,TRB,1373557.0,52.9,20012.09,1.48,91398.74,7.13,128007.08,10.28
122,Memecoin,MEME,5772598517.0,8.37,25346812.41,0.44,15900305.18,0.28,-22415118.5,-0.39
123,MX Token,MX,93386357.0,21.79,51588.12,0.06,56000.07,0.06,33831.55,0.04
124,TerraClassicUSD,USTC,143331177.0,1.47,60229.91,0.04,-12262.31,-0.01,-13904388.38,-8.84
125,Band Protocol,BAND,6667795.0,6.67,-6901.9,-0.1,101313.56,1.54,1328169.31,24.87
126,Audius,AUDIO,154056258.0,12.48,817370.96,0.53,8368509.83,5.74,1416766.6,0.93
127,Cartesi,CTSI,142846692.0,14.28,2027985.74,1.44,6719595.42,4.94,8152818.94,6.05
128,Biconomy,BICO,89213597.0,8.92,9083514.34,11.34,12523297.7,16.33,14047117.42,18.69
129,iExec RLC,RLC,25830140.0,29.69,-47715.31,-0.18,-589344.54,-2.23,-569891.46,-2.16
130,Balancer,BAL,4100168.0,6.63,177464.93,4.52,216483.92,5.57,435120.97,11.87
131,Coin98,C98,224388423.0,22.44,740887.4,0.33,1861251.82,0.84,-1484032.89,-0.66
132,Arkham,ARKM,107241168.0,10.72,-1155073.43,-1.07,-1685660.98,-1.55,-7643007.57,-6.65
133,Raydium,RAY,158.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,Baby Doge Coin,BABYDOGE,3.242229702519028e+16,7.72,25769959949352.0,0.08,70883970759188.0,0.22,94160981736771.0,0.29
135,Open Campus,EDU,93593582.0,9.36,78387.69,0.08,94314.17,0.1,2823339.18,3.11
136,Ontology,ONT,2888641.0,0.29,-13059.57,-0.45,-15187.23,-0.52,149258.01,5.45
137,Tokocrypto,TKO,144010371.0,28.96,157822.92,0.11,-7083.1,0.0,522187.22,0.36
138,Solar,SXP,45223460.0,15.85,9.9e-06,0.0,963.37,0.0,1865.11,0.0
139,Fusionist,ACE,9155027.0,6.23,68291.31,0.75,-127364.18,-1.37,-615138.07,-6.3
140,Sleepless AI,AI,117221651.0,11.72,205627.38,0.18,-108480913.0,-48.06,-92143555.47,-44.01
141,WAX Token,WAXP,32966418.0,0.8,143714.86,0.44,-47788.59,-0.14,109141.79,0.33
142,Tribe,TRIBE,10338084.0,1.03,-14924.02,-0.14,-58336.87,-0.56,-665995.56,-6.05
143,Pax Dollar,USDP,30050971.0,13.95,430331.3,1.45,-324047.17,-1.07,960432.36,3.3
144,Prom,PROM,2409396.0,12.05,2711.01,0.11,-3124941.16,-56.46,-3026319.98,-55.67
145,Celer Network,CELR,2126234441.0,21.26,-12818933.74,-0.6,-6768345.47,-0.32,-261357273.0,-10.95
146,Amp,AMP,5316466358.0,5.35,90756947.76,1.74,32021412.2,0.61,94901033.32,1.82
147,Numeraire,NMR,991692.0,9.23,-27602.3,-2.71,26908.8,2.79,-182305.02,-15.53
148,LCX token,LCX,14003150.0,1.47,-421475.94,-2.92,-544908.29,-3.75,-1714514.98,-10.91
149,Venus,XVS,4525063.0,15.08,2697.57,0.06,-51636.06,-1.13,-79039.15,-1.72
150,Alchemy Pay,ACH,2381802129.0,23.82,-796684.18,-0.03,-5829735.79,-0.24,-12464964.52,-0.52
151,Power Ledger,POWR,84511369.0,8.45,3925186.41,4.87,-2470604.42,-2.84,-3163435.32,-3.61
152,ArcBlock,ABT,12258212.0,6.59,441312.13,3.73,-476924.55,-3.74,-2865269.33,-18.95
153,NFPrompt,NFP,170483619.0,17.05,2380636.58,1.42,9181383.37,5.69,16482022.65,10.7
154,Bounce Token,AUCTION,2255917.0,34.71,-22204.64,-0.97,-151992.26,-6.31,-532173.43,-19.09
155,Wrapped NXM,wNXM,228067.0,19.68,-3015.4,-1.3,-6180.72,-2.64,-23370.38,-9.29
156,Vulcan Forged,PYR,12038518.0,24.08,-48757.0,-0.4,236167.26,2.0,8346.27,0.07
157,Big Time,BIGTIME,250897573.0,5.02,5705960.64,2.33,9428050.82,3.9,61263087.69,32.31
158,Creditcoin,CTC,27200324.0,4.95,82630.96,0.3,-182436.96,-0.67,-2192424.67,-7.46
159,Orbs,ORBS,249151021.0,2.49,7162375.69,2.96,44493698.45,21.74,89702790.91,56.26
160,CyberConnect,CYBER,7999985.0,8.0,-4222.73,-0.05,-73761.11,-0.91,-202490.58,-2.47
161,Status,SNT,672745440.0,9.89,-18593010.8,-2.69,4848714.09,0.73,31076714.46,4.84
162,Marlin,POND,1186131031.0,14.67,3033159.25,0.26,10158781.34,0.86,-63991240.51,-5.12
163,MANTRA,OM,222582480.0,25.04,1193650.95,0.54,4964117.34,2.28,1158878.02,0.52
164,Maverick Protocol,MAV,134650828.0,6.73,-121185.84,-0.09,-30327161.22,-18.38,-36866048.84,-21.49
165,Stratis,STRAX,168285.0,0.11,-2.134e-05,0.0,75.4678,0.04,75.4678,0.04
166,Yield Guild Games,YGG,180764199.0,18.08,4184377.79,2.37,1416638.37,0.79,8709477.66,5.06
167,Small Love Potion,SLP,4129898717.0,33.04,7294856.0,0.18,47223714.0,1.16,365728050.0,9.72
168,Telos,TLOS,8221275.0,1.96,-93588.79,-1.13,352341.28,4.48,23558.57,0.29
169,Reserve Rights,RSR,19101349076.0,19.1,27382414.25,0.14,358270725.0,1.91,513764411.0,2.76
170,Artificial Liquid Intelligence,ALI,262386264.0,2.62,3567028.44,1.38,-3751714.69,-1.41,14720346.06,5.94
171,Bluzelle,BLZ,222951037.0,44.59,281187.03,0.13,-9547.94,0.0,-19947995.88,-8.21
172,ConstitutionDAO,PEOPLE,4193087522.0,82.75,871062.68,0.02,305838.56,0.01,-22971641.35,-0.54
173,Dexe.network,DEXE,5551330.0,5.75,-2417.27,-0.04,17148.76,0.31,23743.2,0.43
174,Liquity,LQTY,23323135.0,23.32,996159.02,4.46,1354007.64,6.16,-393916.89,-1.66
175,NYM,NYM,53158144.0,5.32,-76279.28,-0.14,2120714.42,4.16,1596372.4,3.1
176,Dent,DENT,51079098409.0,51.08,-43589577.98,-0.09,89405931.42,0.18,799218342.0,1.59
177,Keep Network,KEEP,3483676.0,0.35,-7078.03,-0.2,-41398.12,-1.17,-144901.98,-3.99
178,Hooked Protocol,HOOK,69991457.0,14.0,31736.2,0.05,-173768.12,-0.25,4385695.13,6.68
179,Hashflow,HFT,169062712.0,16.91,1183896.4,0.71,5684997.23,3.48,12880639.64,8.25
180,Bone ShibaSwap,BONE,34997622.0,14.0,-142363.03,-0.41,3576827.3,11.38,-516865.16,-1.46
181,Loom Network,LOOM,188202224.0,14.48,14463147.96,8.32,-8066787.91,-4.11,42039955.87,28.76
182,Stargate Finance,STG,56499342.0,5.65,54372.11,0.1,5517928.61,10.82,3585949.5,6.78
183,Perpetual Protocol,PERP,43280675.0,28.85,100345.79,0.23,1069561.63,2.53,1578925.62,3.79
184,Synapse,SYN,29226373.0,13.77,203580.72,0.7,1751933.03,6.38,-1613180.73,-5.23
185,Dusk,DUSK,74325145.0,14.87,2642723.81,3.69,3059679.14,4.29,-18567390.9,-19.99
186,RSS3,RSS3,96749380.0,9.67,140038.81,0.14,760265.48,0.79,-2729744.17,-2.74
187,Kyber Network Crystal,KNC,54502325.0,23.64,925023.36,1.73,4943198.59,9.97,14412499.96,35.95
188,DODO Token,DODO,269755169.0,26.98,2751228.54,1.03,2948006.04,1.1,9514066.03,3.66
189,Orchid,OXT,184325422.0,18.43,-1702379.17,-0.92,-4280162.47,-2.27,11167.37,0.01
190,BakeryToken,BAKE,273443285.0,94.37,-260143.04,-0.1,2427102.54,0.9,2429248.5,0.9
191,Stella,ALPHA,248726116.0,24.87,-1032875.22,-0.41,3621265.7,1.48,17530526.19,7.58
192,Pundi X [new],PUNDIX,39892761.0,15.44,219189.6,0.55,769419.27,1.97,1291117.13,3.34
